,u,v
0,0,113
1,0,14
2,1,2
3,1,30
4,2,1
5,2,3
6,3,2
7,3,4
8,4,8
9,4,3
10,4,692
11,4,691
12,5,8
13,5,614
14,5,613
15,5,6
16,6,5
17,6,614
18,6,7
19,7,628
20,7,6
21,7,15
22,8,612
23,8,692
24,8,4
25,8,5
26,9,10
27,9,15
28,10,9
29,10,11
30,10,518
31,11,10
32,11,12
33,11,206
34,12,11
35,12,204
36,12,13
37,13,144
38,13,12
39,13,14
40,13,143
41,14,0
42,14,106
43,14,13
44,14,48
45,14,123
46,15,9
47,15,7
48,16,17
49,16,341
50,17,16
51,17,18
52,17,371
53,17,370
54,18,36
55,18,37
56,18,17
57,18,370
58,18,794
59,19,77
60,19,76
61,19,21
62,19,22
63,20,560
64,20,66
65,20,23
66,21,19
67,21,71
68,21,23
69,22,83
70,22,19
71,22,28
72,23,20
73,23,21
74,24,136
75,24,25
76,24,28
77,25,24
78,25,26
79,25,159
80,26,25
81,26,27
82,27,56
83,27,26
84,27,60
85,27,343
86,28,135
87,28,117
88,28,118
89,28,22
90,28,24
91,29,852
92,29,30
93,30,1
94,30,828
95,30,29
96,30,31
97,31,32
98,31,30
99,32,33
100,32,98
101,32,688
102,32,689
103,32,31
104,33,32
105,33,34
106,33,618
107,34,61
108,34,33
109,34,35
110,34,517
111,35,34
112,35,36
113,35,69
114,35,73
115,35,796
116,36,18
117,36,35
118,36,37
119,36,446
120,37,36
121,37,38
122,37,74
123,37,18
124,37,371
125,38,435
126,38,68
127,38,37
128,38,39
129,39,38
130,39,40
131,39,107
132,39,371
133,39,87
134,39,89
135,39,379
136,39,124
137,40,304
138,40,50
139,40,39
140,41,50
141,41,42
142,42,41
143,42,43
144,42,165
145,43,161
146,43,42
147,43,147
148,43,44
149,44,43
150,44,45
151,45,44
152,45,46
153,46,99
154,46,45
155,46,47
156,47,48
157,47,113
158,47,46
159,48,49
160,48,14
161,48,102
162,48,47
163,49,48
164,50,40
165,50,41
166,51,257
167,51,84
168,51,54
169,51,55
170,52,740
171,52,53
172,53,514
173,53,52
174,53,54
175,54,51
176,54,53
177,54,70
178,54,71
179,55,59
180,55,51
181,56,137
182,56,470
183,56,58
184,56,27
185,56,60
186,56,159
187,57,115
188,57,59
189,57,60
190,57,317
191,58,56
192,58,158
193,59,104
194,59,114
195,59,115
196,59,55
197,59,57
198,60,56
199,60,57
200,60,27
201,61,34
202,61,69
203,61,62
204,62,61
205,62,63
206,63,688
207,63,62
208,64,65
209,65,64
210,65,67
211,66,67
212,66,20
213,67,65
214,67,66
215,68,796
216,68,69
217,68,38
218,69,96
219,69,35
220,69,68
221,69,91
222,69,61
223,70,54
224,71,21
225,71,54
226,72,73
227,72,74
228,73,72
229,73,89
230,73,35
231,73,853
232,74,72
233,74,37
234,75,121
235,75,122
236,75,451
237,75,77
238,76,19
239,77,75
240,77,19
241,78,85
242,78,79
243,79,80
244,79,78
245,80,81
246,80,79
247,81,80
248,81,82
249,82,132
250,82,81
251,82,85
252,82,151
253,82,92
254,83,84
255,83,22
256,84,51
257,84,83
258,85,198
259,85,203
260,85,78
261,85,82
262,85,86
263,86,100
264,86,85
265,87,100
266,87,340
267,87,262
268,87,39
269,88,97
270,88,98
271,89,515
272,89,39
273,89,73
274,89,884
275,89,885
276,89,90
277,90,89
278,90,91
279,90,886
280,91,90
281,91,619
282,91,69
283,91,95
284,92,82
285,92,99
286,93,852
287,93,94
288,94,98
289,94,93
290,95,96
291,95,91
292,96,97
293,96,69
294,96,686
295,96,687
296,96,95
297,97,96
298,97,88
299,98,88
300,98,32
301,98,94
302,99,46
303,99,114
304,99,92
305,99,102
306,100,86
307,100,87
308,101,102
309,101,103
310,102,48
311,102,105
312,102,99
313,102,101
314,103,101
315,104,105
316,104,59
317,105,104
318,105,257
319,105,102
320,105,256
321,106,14
322,107,294
323,107,39
324,107,108
325,107,305
326,107,436
327,107,340
328,107,149
329,108,107
330,108,109
331,109,771
332,109,108
333,109,110
334,109,767
335,110,262
336,110,109
337,110,126
338,110,111
339,111,232
340,111,169
341,111,171
342,111,110
343,111,126
344,111,127
345,112,122
346,112,715
347,113,0
348,113,47
349,114,256
350,114,59
351,114,258
352,114,99
353,115,57
354,115,59
355,115,116
356,116,136
357,116,115
358,116,117
359,117,116
360,117,28
361,118,28
362,118,119
363,119,120
364,119,118
365,120,121
366,120,119
367,121,120
368,121,122
369,121,75
370,122,551
371,122,135
372,122,75
373,122,558
374,122,112
375,122,121
376,123,14
377,124,125
378,124,39
379,125,294
380,125,124
381,125,126
382,125,295
383,126,293
384,126,171
385,126,110
386,126,111
387,126,125
388,127,128
389,127,225
390,127,169
391,127,111
392,127,756
393,128,129
394,128,225
395,128,166
396,128,188
397,128,127
398,129,128
399,129,130
400,129,188
401,129,166
402,130,129
403,130,167
404,130,151
405,130,152
406,130,222
407,131,318
408,131,314
409,131,141
410,131,134
411,132,82
412,132,147
413,132,133
414,132,142
415,133,132
416,133,134
417,134,131
418,134,133
419,135,122
420,135,715
421,135,28
422,135,503
423,136,24
424,136,116
425,137,56
426,137,138
427,137,343
428,138,344
429,138,137
430,138,139
431,139,138
432,139,140
433,140,139
434,140,141
435,141,131
436,141,140
437,142,147
438,142,132
439,143,147
440,143,13
441,144,145
442,144,201
443,144,13
444,145,144
445,145,146
446,146,145
447,147,43
448,147,132
449,147,142
450,147,143
451,148,164
452,148,149
453,148,150
454,149,769
455,149,197
456,149,107
457,149,148
458,149,184
459,149,185
460,150,177
461,150,148
462,151,82
463,151,130
464,152,160
465,152,130
466,152,747
467,153,160
468,153,874
469,153,749
470,153,750
471,153,154
472,153,220
473,154,194
474,154,313
475,154,153
476,154,218
477,154,155
478,155,345
479,155,154
480,155,156
481,156,400
482,156,194
483,156,155
484,156,157
485,157,752
486,157,156
487,157,158
488,158,58
489,158,157
490,159,56
491,159,25
492,160,152
493,160,153
494,161,162
495,161,43
496,162,161
497,163,178
498,163,164
499,164,436
500,164,163
501,164,148
502,164,189
503,165,224
504,165,42
505,166,128
506,166,129
507,166,167
508,167,225
509,167,130
510,167,166
511,167,168
512,167,253
513,167,222
514,168,169
515,168,167
516,169,168
517,169,233
518,169,170
519,169,111
520,169,127
521,170,169
522,170,171
523,171,292
524,171,261
525,171,293
526,171,170
527,171,172
528,171,111
529,171,305
530,171,126
531,172,171
532,172,174
533,173,547
534,173,453
535,173,622
536,173,187
537,173,445
538,174,185
539,174,172
540,174,293
541,174,769
542,175,176
543,175,186
544,175,191
545,176,177
546,176,175
547,177,515
548,177,176
549,177,178
550,177,150
551,177,446
552,178,177
553,178,163
554,178,179
555,178,190
556,179,178
557,179,180
558,179,189
559,179,190
560,180,179
561,180,181
562,180,247
563,181,180
564,181,182
565,181,246
566,181,378
567,181,284
568,182,775
569,182,181
570,182,183
571,182,379
572,182,189
573,183,184
574,183,182
575,183,375
576,184,149
577,184,183
578,185,196
579,185,197
580,185,292
581,185,174
582,185,305
583,185,306
584,185,149
585,186,187
586,186,453
587,186,175
588,187,186
589,187,173
590,188,128
591,188,129
592,188,216
593,189,179
594,189,164
595,189,182
596,190,442
597,190,178
598,190,179
599,190,191
600,191,190
601,191,175
602,192,193
603,192,551
604,193,192
605,193,195
606,193,472
607,194,195
608,194,752
609,194,372
610,194,215
611,194,154
612,194,156
613,194,254
614,194,223
615,195,193
616,195,194
617,195,215
618,196,227
619,196,249
620,196,230
621,196,261
622,196,234
623,196,235
624,196,268
625,196,185
626,197,369
627,197,306
628,197,149
629,197,854
630,197,185
631,198,85
632,198,199
633,199,200
634,199,198
635,200,205
636,200,199
637,201,144
638,201,204
639,202,208
640,202,855
641,203,224
642,203,857
643,203,85
644,204,201
645,204,12
646,205,200
647,205,206
648,206,11
649,206,205
650,207,550
651,207,278
652,207,214
653,207,215
654,208,209
655,208,202
656,209,736
657,209,715
658,209,208
659,209,210
660,209,725
661,210,209
662,210,211
663,211,210
664,211,643
665,211,212
666,211,717
667,212,211
668,212,213
669,213,576
670,213,212
671,213,214
672,213,505
673,213,506
674,213,764
675,213,573
676,214,213
677,214,207
678,215,473
679,215,194
680,215,195
681,215,207
682,216,224
683,216,188
684,217,218
685,217,223
686,218,321
687,218,217
688,218,154
689,218,219
690,219,218
691,219,235
692,219,220
693,220,153
694,220,219
695,220,221
696,220,235
697,221,220
698,221,222
699,222,130
700,222,747
701,222,221
702,222,167
703,223,352
704,223,217
705,223,194
706,224,216
707,224,203
708,224,165
709,225,128
710,225,226
711,225,127
712,225,167
713,226,225
714,226,228
715,227,196
716,227,228
717,228,226
718,228,227
719,229,856
720,229,290
721,229,291
722,229,230
723,230,306
724,230,196
725,230,229
726,230,270
727,231,240
728,231,239
729,231,623
730,232,768
731,232,767
732,232,111
733,233,169
734,233,234
735,234,233
736,234,250
737,234,235
738,234,196
739,235,322
740,235,196
741,235,234
742,235,270
743,235,219
744,235,220
745,236,241
746,236,237
747,237,236
748,237,238
749,238,244
750,238,237
751,239,242
752,239,333
753,239,335
754,239,231
755,240,244
756,240,231
757,241,299
758,241,236
759,241,245
760,242,243
761,242,572
762,242,239
763,243,242
764,243,579
765,243,578
766,243,610
767,244,453
768,244,238
769,244,240
770,244,532
771,244,444
772,244,445
773,245,241
774,245,251
775,246,248
776,246,181
777,246,878
778,247,251
779,247,180
780,248,252
781,248,375
782,248,246
783,248,287
784,249,289
785,249,290
786,249,196
787,249,270
788,249,369
789,249,252
790,250,234
791,250,253
792,251,284
793,251,245
794,251,247
795,252,248
796,252,249
797,253,250
798,253,167
799,254,264
800,254,194
801,254,255
802,255,280
803,255,254
804,256,105
805,256,114
806,257,105
807,257,746
808,257,51
809,258,114
810,258,259
811,259,258
812,259,260
813,260,259
814,260,316
815,261,171
816,261,196
817,261,292
818,261,759
819,262,110
820,262,87
821,263,736
822,263,269
823,263,725
824,263,735
825,264,281
826,264,402
827,264,276
828,264,254
829,265,277
830,265,278
831,266,267
832,266,283
833,267,576
834,267,266
835,267,554
836,267,277
837,267,575
838,268,196
839,268,270
840,269,736
841,269,263
842,269,717
843,269,718
844,269,282
845,270,289
846,270,230
847,270,235
848,270,268
849,270,271
850,270,249
851,271,272
852,271,270
853,272,273
854,272,271
855,273,272
856,273,274
857,274,273
858,274,275
859,275,372
860,275,274
861,275,276
862,275,373
863,276,264
864,276,275
865,276,357
866,277,265
867,277,267
868,278,265
869,278,207
870,278,280
871,278,506
872,278,507
873,279,282
874,279,283
875,279,765
876,280,281
877,280,278
878,280,255
879,281,264
880,281,280
881,282,269
882,282,279
883,283,266
884,283,764
885,283,774
886,283,279
887,284,251
888,284,285
889,284,181
890,285,419
891,285,284
892,285,286
893,286,285
894,286,287
895,287,288
896,287,297
897,287,286
898,287,248
899,288,289
900,288,323
901,288,324
902,288,297
903,288,287
904,289,288
905,289,249
906,289,270
907,290,249
908,290,229
909,291,292
910,291,229
911,292,185
912,292,261
913,292,291
914,292,171
915,293,126
916,293,171
917,293,174
918,293,294
919,294,107
920,294,770
921,294,293
922,294,125
923,295,296
924,295,125
925,296,295
926,297,288
927,297,329
928,297,300
929,297,287
930,298,299
931,298,301
932,299,241
933,299,298
934,300,329
935,300,297
936,300,378
937,300,302
938,301,298
939,301,303
940,302,300
941,302,303
942,303,419
943,303,422
944,303,301
945,303,302
946,304,40
947,304,305
948,305,304
949,305,185
950,305,107
951,305,171
952,306,185
953,306,197
954,306,230
955,307,315
956,307,308
957,307,836
958,308,307
959,308,309
960,308,679
961,309,308
962,309,310
963,310,681
964,310,698
965,310,309
966,310,311
967,311,312
968,311,843
969,311,310
970,312,858
971,312,311
972,313,154
973,313,318
974,314,338
975,314,131
976,315,833
977,315,307
978,315,319
979,316,338
980,316,260
981,316,317
982,317,57
983,317,316
984,318,313
985,318,131
986,319,833
987,319,315
988,319,325
989,320,331
990,320,325
991,321,218
992,321,322
993,322,321
994,322,323
995,322,235
996,323,288
997,323,322
998,324,288
999,324,329
1000,324,367
1001,324,368
1002,324,406
1003,324,348
1004,325,320
1005,325,610
1006,325,319
1007,326,329
1008,326,397
1009,326,327
1010,327,328
1011,327,326
1012,327,798
1013,328,778
1014,328,420
1015,328,334
1016,328,327
1017,329,324
1018,329,326
1019,329,297
1020,329,777
1021,329,300
1022,329,397
1023,329,780
1024,329,377
1025,330,339
1026,330,334
1027,331,320
1028,331,332
1029,332,331
1030,332,333
1031,332,390
1032,332,391
1033,333,332
1034,333,239
1035,334,328
1036,334,330
1037,335,336
1038,335,532
1039,335,392
1040,335,239
1041,336,337
1042,336,335
1043,337,336
1044,337,339
1045,338,314
1046,338,316
1047,339,337
1048,339,330
1049,339,501
1050,340,371
1051,340,107
1052,340,341
1053,340,87
1054,341,16
1055,341,340
1056,341,766
1057,342,344
1058,342,345
1059,342,401
1060,343,137
1061,343,27
1062,344,138
1063,344,342
1064,345,155
1065,345,342
1066,346,349
1067,346,350
1068,347,348
1069,348,347
1070,348,324
1071,348,349
1072,348,374
1073,349,346
1074,349,348
1075,350,355
1076,350,358
1077,350,365
1078,350,402
1079,350,346
1080,351,353
1081,351,414
1082,352,357
1083,352,223
1084,353,354
1085,353,351
1086,354,353
1087,354,355
1088,354,880
1089,354,403
1090,354,404
1091,355,354
1092,355,365
1093,355,367
1094,355,376
1095,355,350
1096,356,357
1097,356,358
1098,357,352
1099,357,356
1100,357,276
1101,358,356
1102,358,350
1103,359,881
1104,359,362
1105,359,363
1106,360,361
1107,360,366
1108,361,360
1109,361,536
1110,361,362
1111,361,577
1112,362,361
1113,362,763
1114,362,359
1115,363,772
1116,363,773
1117,363,359
1118,363,364
1119,363,477
1120,363,414
1121,364,363
1122,364,365
1123,364,414
1124,365,355
1125,365,364
1126,365,402
1127,365,403
1128,365,476
1129,365,509
1130,365,350
1131,366,360
1132,366,774
1133,366,782
1134,367,355
1135,367,324
1136,368,369
1137,368,324
1138,369,368
1139,369,249
1140,369,197
1141,370,17
1142,370,18
1143,371,37
1144,371,39
1145,371,876
1146,371,17
1147,371,340
1148,372,194
1149,372,275
1150,373,275
1151,373,374
1152,374,348
1153,374,373
1154,375,248
1155,375,183
1156,376,377
1157,376,355
1158,377,376
1159,377,329
1160,378,300
1161,378,181
1162,379,182
1163,379,39
1164,380,384
1165,380,399
1166,381,464
1167,381,465
1168,381,382
1169,381,399
1170,382,381
1171,382,383
1172,383,466
1173,383,382
1174,384,385
1175,384,699
1176,384,380
1177,385,384
1178,385,386
1179,385,709
1180,386,385
1181,386,387
1182,386,709
1183,387,386
1184,387,388
1185,387,834
1186,388,496
1187,388,610
1188,388,387
1189,388,389
1190,389,396
1191,389,388
1192,390,396
1193,390,332
1194,391,392
1195,391,332
1196,392,393
1197,392,335
1198,392,391
1199,393,392
1200,393,394
1201,393,438
1202,394,393
1203,394,395
1204,395,394
1205,395,398
1206,396,579
1207,396,389
1208,396,390
1209,397,326
1210,397,329
1211,397,398
1212,397,405
1213,397,799
1214,398,395
1215,398,397
1216,398,498
1217,398,499
1218,398,437
1219,399,845
1220,399,380
1221,399,381
1222,400,401
1223,400,156
1224,401,400
1225,401,342
1226,402,264
1227,402,492
1228,402,365
1229,402,350
1230,403,354
1231,403,365
1232,404,354
1233,404,405
1234,405,408
1235,405,404
1236,405,397
1237,405,414
1238,406,324
1239,406,407
1240,407,408
1241,407,406
1242,408,411
1243,408,780
1244,408,405
1245,408,407
1246,409,415
1247,409,410
1248,409,485
1249,409,439
1250,410,499
1251,410,500
1252,410,409
1253,410,413
1254,410,414
1255,410,415
1256,411,408
1257,411,412
1258,412,800
1259,412,411
